District,Zone,Geographical Region,Development Region,Project_title,Sector,Amount_thousandsNPR
Dhanusa,Janakpur,Terai,Central,Botanical Conservation & Park Development Project,Forest and Land Conservation,757.0
Dhanusa,Janakpur,Terai,Central,Botanical Utilization & Marketing Program,Forest and Land Conservation,848.0
Dhanusa,Janakpur,Terai,Central,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,1367.0
Dhanusa,Janakpur,Terai,Central,Multi Stakeholders Forestry Program,Forest and Land Conservation,2400.0
Dhanusa,Janakpur,Terai,Central,Agricultural Extension Program,Farm and Food Security,20800.0
Dhanusa,Janakpur,Terai,Central,Fishery Development Program,Farm and Food Security,33651.0
Dhanusa,Janakpur,Terai,Central,Crop Development Program,Farm and Food Security,737.0
Dhanusa,Janakpur,Terai,Central,"Potato, Vegetable & Spices Development Program",Farm and Food Security,2695.0
Dhanusa,Janakpur,Terai,Central,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,6878.0
Dhanusa,Janakpur,Terai,Central,Horiculture Development Program,Farm and Food Security,13046.0
Dhanusa,Janakpur,Terai,Central,Agriculture Extension & Training Program,Farm and Food Security,23633.0
Dhanusa,Janakpur,Terai,Central,Livestock Service Extension Program,Farm and Food Security,20238.0
Dhanusa,Janakpur,Terai,Central,Livestock and Bird's Market Promotion Program,Farm and Food Security,1100.0
Dhanusa,Janakpur,Terai,Central,Livestock Development Farms,Farm and Food Security,49150.0
Dhanusa,Janakpur,Terai,Central,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,3148.0
Dhanusa,Janakpur,Terai,Central,Livestock Training Program,Farm and Food Security,7733.0
Dhanusa,Janakpur,Terai,Central,Veterinary Health Service Program,Farm and Food Security,13873.0
Dolakha,Janakpur,Mountain,Central,Non-formal Education & National Literacy Campaign,Education,19980.29
Dolakha,Janakpur,Mountain,Central,School Sector Reform Program,Education,175863.0
Dolakha,Janakpur,Mountain,Central,Integrated District Health Program,"Health, Nutrition and Population",104610.0
Dolakha,Janakpur,Mountain,Central,Tuberculosis Control,"Health, Nutrition and Population",2032.0
Dolakha,Janakpur,Mountain,Central,Ayurveda Service Program,"Health, Nutrition and Population",2870.0
Dolakha,Janakpur,Mountain,Central,National Health Education Information & Communication Service,"Health, Nutrition and Population",3900.0
Dolakha,Janakpur,Mountain,Central,National Training Program,"Health, Nutrition and Population",150.0
Dolakha,Janakpur,Mountain,Central,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,3054.0
Dolakha,Janakpur,Mountain,Central,National Forest Development & Management Program,Forest and Land Conservation,2902.0
Dolakha,Janakpur,Mountain,Central,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,2763.0
Dolakha,Janakpur,Mountain,Central,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,4408.0
Dolakha,Janakpur,Mountain,Central,District Soil Erosion Program,Forest and Land Conservation,9272.0
Dolakha,Janakpur,Mountain,Central,Agricultural Extension Program,Farm and Food Security,19400.0
Dolakha,Janakpur,Mountain,Central,Crop Development Program,Farm and Food Security,1113.0
Dolakha,Janakpur,Mountain,Central,"Potato, Vegetable & Spices Development Program",Farm and Food Security,4332.0
Dolakha,Janakpur,Mountain,Central,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,6089.0
Dolakha,Janakpur,Mountain,Central,Horiculture Development Program,Farm and Food Security,14399.0
Dolakha,Janakpur,Mountain,Central,Livestock Service Extension Program,Farm and Food Security,18067.0
Dolakha,Janakpur,Mountain,Central,Livestock and Bird's Market Promotion Program,Farm and Food Security,1600.0
Dolakha,Janakpur,Mountain,Central,Livestock Development Farms,Farm and Food Security,17347.0
Dolakha,Janakpur,Mountain,Central,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,1149.0
Dolakha,Janakpur,Mountain,Central,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,1070.0
Dolakha,Janakpur,Mountain,Central,Veterinary Health Service Program,Farm and Food Security,367.0
Dolpa,Karnali,Mountain,Mid-Western,Non-formal Education & National Literacy Campaign,Education,1674.02
Dolpa,Karnali,Mountain,Mid-Western,School Sector Reform Program,Education,52272.0
Dolpa,Karnali,Mountain,Mid-Western,Integrated District Health Program,"Health, Nutrition and Population",99979.0
Dolpa,Karnali,Mountain,Mid-Western,Tuberculosis Control,"Health, Nutrition and Population",1641.0
Dolpa,Karnali,Mountain,Mid-Western,Ayurveda Service Program,"Health, Nutrition and Population",2670.0
Dolpa,Karnali,Mountain,Mid-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",3600.0
Dolpa,Karnali,Mountain,Mid-Western,National Training Program,"Health, Nutrition and Population",140.0
Dolpa,Karnali,Mountain,Mid-Western,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,3240.0
Dolpa,Karnali,Mountain,Mid-Western,National Forest Development & Management Program,Forest and Land Conservation,370.0
Dolpa,Karnali,Mountain,Mid-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,1890.0
Dolpa,Karnali,Mountain,Mid-Western,Wildlife Conservation Project,Forest and Land Conservation,18815.0
Dolpa,Karnali,Mountain,Mid-Western,Agricultural Extension Program,Farm and Food Security,15200.0
Dolpa,Karnali,Mountain,Mid-Western,Karnali Zone Agriculture Development Project,Farm and Food Security,7500.0
Dolpa,Karnali,Mountain,Mid-Western,Integrated Water Resource Management Project,Farm and Food Security,685.0
Dolpa,Karnali,Mountain,Mid-Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,11035.0
Dolpa,Karnali,Mountain,Mid-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,8833.0
Dolpa,Karnali,Mountain,Mid-Western,Horiculture Development Program,Farm and Food Security,3505.0
Dolpa,Karnali,Mountain,Mid-Western,Livestock Service Extension Program,Farm and Food Security,16020.0
Dolpa,Karnali,Mountain,Mid-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,900.0
Dolpa,Karnali,Mountain,Mid-Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,246.0
Dolpa,Karnali,Mountain,Mid-Western,Veterinary Health Service Program,Farm and Food Security,161.0
Doti,Seti,Hill,Far-Western,Non-formal Education & National Literacy Campaign,Education,17286.42
Doti,Seti,Hill,Far-Western,School Sector Reform Program,Education,198431.0
Doti,Seti,Hill,Far-Western,Integrated District Health Program,"Health, Nutrition and Population",111782.0
Doti,Seti,Hill,Far-Western,Tuberculosis Control,"Health, Nutrition and Population",2171.0
Doti,Seti,Hill,Far-Western,Ayurveda Service Program,"Health, Nutrition and Population",3135.0
Doti,Seti,Hill,Far-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",4000.0
Doti,Seti,Hill,Far-Western,National Training Program,"Health, Nutrition and Population",150.0
Doti,Seti,Hill,Far-Western,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,2194.0
Doti,Seti,Hill,Far-Western,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,2551.0
Doti,Seti,Hill,Far-Western,National Forest Development & Management Program,Forest and Land Conservation,230.0
Doti,Seti,Hill,Far-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2888.0
Doti,Seti,Hill,Far-Western,District Soil Erosion Program,Forest and Land Conservation,9140.0
Doti,Seti,Hill,Far-Western,Wildlife Conservation Project,Forest and Land Conservation,15420.0
Doti,Seti,Hill,Far-Western,Agricultural Extension Program,Farm and Food Security,18600.0
Doti,Seti,Hill,Far-Western,Integrated Water Resource Management Project,Farm and Food Security,972.0
Doti,Seti,Hill,Far-Western,Soil Test Service Program,Farm and Food Security,1325.0
Doti,Seti,Hill,Far-Western,Crop Development Program,Farm and Food Security,1077.0
Doti,Seti,Hill,Far-Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,1741.0
Doti,Seti,Hill,Far-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,3607.0
Doti,Seti,Hill,Far-Western,Livestock Service Extension Program,Farm and Food Security,16067.0
Doti,Seti,Hill,Far-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1300.0
Doti,Seti,Hill,Far-Western,Community Livestock Development Project,Farm and Food Security,2262.0
Doti,Seti,Hill,Far-Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,213.0
Doti,Seti,Hill,Far-Western,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,953.0
Doti,Seti,Hill,Far-Western,Veterinary Health Service Program,Farm and Food Security,477.0
Gorkha,Gandaki,Hill,Western,Non-formal Education & National Literacy Campaign,Education,23880.84
Gorkha,Gandaki,Hill,Western,School Sector Reform Program,Education,223961.0
Gorkha,Gandaki,Hill,Western,Integrated District Health Program,"Health, Nutrition and Population",109291.0
Gorkha,Gandaki,Hill,Western,Tuberculosis Control,"Health, Nutrition and Population",2018.0
Gorkha,Gandaki,Hill,Western,Ayurveda Service Program,"Health, Nutrition and Population",2835.0
Gorkha,Gandaki,Hill,Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",5900.0
Gorkha,Gandaki,Hill,Western,National Training Program,"Health, Nutrition and Population",150.0
Gorkha,Gandaki,Hill,Western,National Forest Development & Management Program,Forest and Land Conservation,412.0
Gorkha,Gandaki,Hill,Western,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,3288.0
Gorkha,Gandaki,Hill,Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2716.0
Gorkha,Gandaki,Hill,Western,District Soil Erosion Program,Forest and Land Conservation,11890.0
Gorkha,Gandaki,Hill,Western,Agricultural Extension Program,Farm and Food Security,19500.0
Gorkha,Gandaki,Hill,Western,Integrated Water Resource Management Project,Farm and Food Security,1880.0
Gorkha,Gandaki,Hill,Western,Soil Test Service Program,Farm and Food Security,1325.0
Gorkha,Gandaki,Hill,Western,Fishery Development Program,Farm and Food Security,565.0
Gorkha,Gandaki,Hill,Western,Crop Development Program,Farm and Food Security,1346.0
Gorkha,Gandaki,Hill,Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,3013.0
Gorkha,Gandaki,Hill,Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,16402.0
Gorkha,Gandaki,Hill,Western,Horiculture Development Program,Farm and Food Security,4552.0
Gorkha,Gandaki,Hill,Western,Crop Protection and Pesticide Development,Farm and Food Security,211.0
Gorkha,Gandaki,Hill,Western,Livestock Service Extension Program,Farm and Food Security,17669.0
Gorkha,Gandaki,Hill,Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,700.0
Gorkha,Gandaki,Hill,Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,1603.0
Gorkha,Gandaki,Hill,Western,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,1680.0
Gorkha,Gandaki,Hill,Western,Veterinary Health Service Program,Farm and Food Security,373.0
Gulmi,Lumbini,Hill,Western,Non-formal Education & National Literacy Campaign,Education,15291.26
Gulmi,Lumbini,Hill,Western,School Sector Reform Program,Education,241112.0
Gulmi,Lumbini,Hill,Western,Integrated District Health Program,"Health, Nutrition and Population",130104.0
Gulmi,Lumbini,Hill,Western,Tuberculosis Control,"Health, Nutrition and Population",2262.0
Gulmi,Lumbini,Hill,Western,Ayurveda Service Program,"Health, Nutrition and Population",3565.0
Gulmi,Lumbini,Hill,Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Gulmi,Lumbini,Hill,Western,National Training Program,"Health, Nutrition and Population",150.0
Gulmi,Lumbini,Hill,Western,National Forest Development & Management Program,Forest and Land Conservation,8583.0
Gulmi,Lumbini,Hill,Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2964.0
Gulmi,Lumbini,Hill,Western,District Soil Erosion Program,Forest and Land Conservation,10649.0
Gulmi,Lumbini,Hill,Western,Agricultural Extension Program,Farm and Food Security,21500.0
Gulmi,Lumbini,Hill,Western,Integrated Water Resource Management Project,Farm and Food Security,2176.0
Gulmi,Lumbini,Hill,Western,Soil Test Service Program,Farm and Food Security,1325.0
Gulmi,Lumbini,Hill,Western,Fishery Development Program,Farm and Food Security,250.0
Gulmi,Lumbini,Hill,Western,Crop Development Program,Farm and Food Security,1113.0
Gulmi,Lumbini,Hill,Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,3011.0
Gulmi,Lumbini,Hill,Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,5361.0
Gulmi,Lumbini,Hill,Western,Horiculture Development Program,Farm and Food Security,14376.0
Gulmi,Lumbini,Hill,Western,Crop Protection and Pesticide Development,Farm and Food Security,211.0
Gulmi,Lumbini,Hill,Western,Livestock Service Extension Program,Farm and Food Security,16162.0
Gulmi,Lumbini,Hill,Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1500.0
Gulmi,Lumbini,Hill,Western,Community Livestock Development Project,Farm and Food Security,2439.0
Gulmi,Lumbini,Hill,Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,1110.0
Gulmi,Lumbini,Hill,Western,Veterinary Health Service Program,Farm and Food Security,291.0
Humla,Karnali,Mountain,Mid-Western,Non-formal Education & National Literacy Campaign,Education,1737.27
Humla,Karnali,Mountain,Mid-Western,School Sector Reform Program,Education,72521.0
Humla,Karnali,Mountain,Mid-Western,Integrated District Health Program,"Health, Nutrition and Population",86871.0
Humla,Karnali,Mountain,Mid-Western,Tuberculosis Control,"Health, Nutrition and Population",1616.0
Humla,Karnali,Mountain,Mid-Western,Ayurveda Service Program,"Health, Nutrition and Population",1435.0
Humla,Karnali,Mountain,Mid-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",3500.0
Humla,Karnali,Mountain,Mid-Western,National Training Program,"Health, Nutrition and Population",140.0
Humla,Karnali,Mountain,Mid-Western,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,2380.0
Humla,Karnali,Mountain,Mid-Western,National Forest Development & Management Program,Forest and Land Conservation,170.0
Humla,Karnali,Mountain,Mid-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,1983.0
Humla,Karnali,Mountain,Mid-Western,Agricultural Extension Program,Farm and Food Security,17700.0
Humla,Karnali,Mountain,Mid-Western,Karnali Zone Agriculture Development Project,Farm and Food Security,7500.0
Humla,Karnali,Mountain,Mid-Western,Integrated Water Resource Management Project,Farm and Food Security,762.0
Humla,Karnali,Mountain,Mid-Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,7158.0
Humla,Karnali,Mountain,Mid-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,6378.0
Humla,Karnali,Mountain,Mid-Western,Sericulture Development Program,Farm and Food Security,3505.0
Humla,Karnali,Mountain,Mid-Western,Livestock Service Extension Program,Farm and Food Security,14475.0
Humla,Karnali,Mountain,Mid-Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,246.0
Humla,Karnali,Mountain,Mid-Western,Veterinary Health Service Program,Farm and Food Security,161.0
Ilam,Mechi,Hill,Eastern,Non-formal Education & National Literacy Campaign,Education,12778.12
Ilam,Mechi,Hill,Eastern,School Sector Reform Program,Education,226386.0
Ilam,Mechi,Hill,Eastern,Integrated District Health Program,"Health, Nutrition and Population",120807.0
Ilam,Mechi,Hill,Eastern,Tuberculosis Control,"Health, Nutrition and Population",1904.0
Ilam,Mechi,Hill,Eastern,Ayurveda Service Program,"Health, Nutrition and Population",3904.0
Ilam,Mechi,Hill,Eastern,National Health Education Information & Communication Service,"Health, Nutrition and Population",5000.0
Ilam,Mechi,Hill,Eastern,National Training Program,"Health, Nutrition and Population",150.0
Ilam,Mechi,Hill,Eastern,National Forest Development & Management Program,Forest and Land Conservation,1849.0
Ilam,Mechi,Hill,Eastern,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,4888.0
Ilam,Mechi,Hill,Eastern,District Soil Erosion Program,Forest and Land Conservation,9518.0
Ilam,Mechi,Hill,Eastern,Botanical Study & Research Program,Forest and Land Conservation,436.0
Ilam,Mechi,Hill,Eastern,Botanical Conservation & Park Development Project,Forest and Land Conservation,591.0
Ilam,Mechi,Hill,Eastern,Botanical Utilization & Marketing Program,Forest and Land Conservation,834.0
Ilam,Mechi,Hill,Eastern,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,1355.0
Ilam,Mechi,Hill,Eastern,Agricultural Extension Program,Farm and Food Security,20500.0
Ilam,Mechi,Hill,Eastern,Soil Test Service Program,Farm and Food Security,1325.0
Ilam,Mechi,Hill,Eastern,Crop Development Program,Farm and Food Security,888.0
Ilam,Mechi,Hill,Eastern,"Potato, Vegetable & Spices Development Program",Farm and Food Security,16867.0
Ilam,Mechi,Hill,Eastern,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,6372.0
Ilam,Mechi,Hill,Eastern,Horiculture Development Program,Farm and Food Security,400.0
Ilam,Mechi,Hill,Eastern,Crop Protection and Pesticide Development,Farm and Food Security,1700.0
Ilam,Mechi,Hill,Eastern,Livestock Service Extension Program,Farm and Food Security,18016.0
Ilam,Mechi,Hill,Eastern,Livestock and Bird's Market Promotion Program,Farm and Food Security,3050.0
Ilam,Mechi,Hill,Eastern,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,3153.0
Ilam,Mechi,Hill,Eastern,Veterinary Health Service Program,Farm and Food Security,879.0
Jajarkot,Bheri,Hill,Mid-Western,Non-formal Education & National Literacy Campaign,Education,13954.74
Jajarkot,Bheri,Hill,Mid-Western,School Sector Reform Program,Education,197749.0
Jajarkot,Bheri,Hill,Mid-Western,Integrated District Health Program,"Health, Nutrition and Population",74849.0
Jajarkot,Bheri,Hill,Mid-Western,Tuberculosis Control,"Health, Nutrition and Population",1630.0
Jajarkot,Bheri,Hill,Mid-Western,Ayurveda Service Program,"Health, Nutrition and Population",2635.0
Jajarkot,Bheri,Hill,Mid-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",3600.0
Jajarkot,Bheri,Hill,Mid-Western,National Training Program,"Health, Nutrition and Population",140.0
Jajarkot,Bheri,Hill,Mid-Western,National Forest Development & Management Program,Forest and Land Conservation,3245.0
Jajarkot,Bheri,Hill,Mid-Western,Multi Stakeholders Forestry Program,Forest and Land Conservation,7065.0
Jajarkot,Bheri,Hill,Mid-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,185.0
Jajarkot,Bheri,Hill,Mid-Western,Agricultural Extension Program,Farm and Food Security,18700.0
Jajarkot,Bheri,Hill,Mid-Western,Integrated Water Resource Management Project,Farm and Food Security,912.0
Jajarkot,Bheri,Hill,Mid-Western,Soil Test Service Program,Farm and Food Security,1325.0
Jajarkot,Bheri,Hill,Mid-Western,Crop Development Program,Farm and Food Security,754.0
Jajarkot,Bheri,Hill,Mid-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,10418.0
Jajarkot,Bheri,Hill,Mid-Western,Horiculture Development Program,Farm and Food Security,354.0
Jajarkot,Bheri,Hill,Mid-Western,Livestock Service Extension Program,Farm and Food Security,15987.0
Jajarkot,Bheri,Hill,Mid-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,200.0
Jajarkot,Bheri,Hill,Mid-Western,Community Livestock Development Project,Farm and Food Security,2255.0
Jajarkot,Bheri,Hill,Mid-Western,Veterinary Health Service Program,Farm and Food Security,161.0
Jhapa,Mechi,Terai,Eastern,Non-formal Education & National Literacy Campaign,Education,15470.78
Jhapa,Mechi,Terai,Eastern,School Sector Reform Program,Education,293115.0
Jhapa,Mechi,Terai,Eastern,Integrated District Health Program,"Health, Nutrition and Population",192985.2
Jhapa,Mechi,Terai,Eastern,Tuberculosis Control,"Health, Nutrition and Population",2593.0
Jhapa,Mechi,Terai,Eastern,Ayurveda Service Program,"Health, Nutrition and Population",3570.0
Jhapa,Mechi,Terai,Eastern,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Jhapa,Mechi,Terai,Eastern,National Training Program,"Health, Nutrition and Population",150.0
Jhapa,Mechi,Terai,Eastern,National Forest Development & Management Program,Forest and Land Conservation,3806.0
Jhapa,Mechi,Terai,Eastern,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2677.6
Jhapa,Mechi,Terai,Eastern,Strengthening Regional Co-Operation for Wildlife Protection Project,Forest and Land Conservation,346.0
Jhapa,Mechi,Terai,Eastern,District Soil Erosion Program,Forest and Land Conservation,9769.0
Jhapa,Mechi,Terai,Eastern,Agricultural Extension Program,Farm and Food Security,21100.0
Jhapa,Mechi,Terai,Eastern,Integrated Water Resource Management Project,Farm and Food Security,2385.0
Jhapa,Mechi,Terai,Eastern,Soil Test Service Program,Farm and Food Security,3263.0
Jhapa,Mechi,Terai,Eastern,Fishery Development Program,Farm and Food Security,1477.0
Jhapa,Mechi,Terai,Eastern,Crop Development Program,Farm and Food Security,3394.0
Jhapa,Mechi,Terai,Eastern,"Potato, Vegetable & Spices Development Program",Farm and Food Security,2878.0
Jhapa,Mechi,Terai,Eastern,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,4888.0
Jhapa,Mechi,Terai,Eastern,Crop Protection and Pesticide Development,Farm and Food Security,8413.0
Jhapa,Mechi,Terai,Eastern,Livestock Service Extension Program,Farm and Food Security,20722.0
Jhapa,Mechi,Terai,Eastern,Livestock and Bird's Market Promotion Program,Farm and Food Security,1350.0
Jhapa,Mechi,Terai,Eastern,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,3669.0
Jhapa,Mechi,Terai,Eastern,Veterinary Health Service Program,Farm and Food Security,6766.0
Jhapa,Mechi,Terai,Eastern,Food Nutrition and Technology Program,Farm and Food Security,5446.0
Jumla,Karnali,Mountain,Mid-Western,Non-formal Education & National Literacy Campaign,Education,2413.99
Jumla,Karnali,Mountain,Mid-Western,School Sector Reform Program,Education,116066.0
Jumla,Karnali,Mountain,Mid-Western,Integrated District Health Program,"Health, Nutrition and Population",115337.0
Jumla,Karnali,Mountain,Mid-Western,Tuberculosis Control,"Health, Nutrition and Population",1697.0
Jumla,Karnali,Mountain,Mid-Western,Ayurveda Service Program,"Health, Nutrition and Population",2935.0
Jumla,Karnali,Mountain,Mid-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",3800.0
Jumla,Karnali,Mountain,Mid-Western,National Training Program,"Health, Nutrition and Population",140.0
Jumla,Karnali,Mountain,Mid-Western,National Forest Development & Management Program,Forest and Land Conservation,170.0
Jumla,Karnali,Mountain,Mid-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2551.0
Jumla,Karnali,Mountain,Mid-Western,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,1360.0
Jumla,Karnali,Mountain,Mid-Western,Botanical Study & Research Program,Forest and Land Conservation,401.0
Jumla,Karnali,Mountain,Mid-Western,Botanical Conservation & Park Development Project,Forest and Land Conservation,647.0
Jumla,Karnali,Mountain,Mid-Western,Botanical Utilization & Marketing Program,Forest and Land Conservation,802.0
Jumla,Karnali,Mountain,Mid-Western,District Soil Erosion Program,Forest and Land Conservation,9798.0
Jumla,Karnali,Mountain,Mid-Western,Agricultural Extension Program,Farm and Food Security,16250.0
Jumla,Karnali,Mountain,Mid-Western,Karnali Zone Agriculture Development Project,Farm and Food Security,8000.0
Jumla,Karnali,Mountain,Mid-Western,Integrated Water Resource Management Project,Farm and Food Security,595.0
Jumla,Karnali,Mountain,Mid-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,4853.0
Jumla,Karnali,Mountain,Mid-Western,Horiculture Development Program,Farm and Food Security,5025.0
Jumla,Karnali,Mountain,Mid-Western,Crop Protection and Pesticide Development,Farm and Food Security,700.0
Jumla,Karnali,Mountain,Mid-Western,Livestock Service Extension Program,Farm and Food Security,17343.0
Jumla,Karnali,Mountain,Mid-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,900.0
Jumla,Karnali,Mountain,Mid-Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,1186.0
Jumla,Karnali,Mountain,Mid-Western,Veterinary Health Service Program,Farm and Food Security,161.0
Jumla,Karnali,Mountain,Mid-Western,Food Nutrition and Technology Program,Farm and Food Security,4179.0
Kailali,Seti,Terai,Far-Western,Non-formal Education & National Literacy Campaign,Education,15223.13
Kailali,Seti,Terai,Far-Western,School Sector Reform Program,Education,427759.0
Kailali,Seti,Terai,Far-Western,Integrated District Health Program,"Health, Nutrition and Population",168315.0
Kailali,Seti,Terai,Far-Western,Tuberculosis Control,"Health, Nutrition and Population",2409.0
Kailali,Seti,Terai,Far-Western,Ayurveda Service Program,"Health, Nutrition and Population",2770.0
Kailali,Seti,Terai,Far-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Kailali,Seti,Terai,Far-Western,National Training Program,"Health, Nutrition and Population",225.0
Kailali,Seti,Terai,Far-Western,National Forest Development & Management Program,Forest and Land Conservation,24413.0
Kailali,Seti,Terai,Far-Western,Strengthening Regional Co-Operation for Wildlife Protection Project,Forest and Land Conservation,483.0
Kailali,Seti,Terai,Far-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,3142.0
Kailali,Seti,Terai,Far-Western,District Soil Erosion Program,Forest and Land Conservation,8829.0
Kailali,Seti,Terai,Far-Western,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,1336.0
Kailali,Seti,Terai,Far-Western,Botanical Study & Research Program,Forest and Land Conservation,431.0
Kailali,Seti,Terai,Far-Western,Botanical Conservation & Park Development Project,Forest and Land Conservation,558.0
Kailali,Seti,Terai,Far-Western,Botanical Utilization & Marketing Program,Forest and Land Conservation,781.0
Kailali,Seti,Terai,Far-Western,Multi Stakeholders Forestry Program,Forest and Land Conservation,12400.0
Kailali,Seti,Terai,Far-Western,Agricultural Extension Program,Farm and Food Security,18700.0
Kailali,Seti,Terai,Far-Western,Rani Jamara Kulariya Irrigation Project (System Modernization Agriculture Program),Farm and Food Security,53725.0
Kailali,Seti,Terai,Far-Western,Integrated Water Resource Management Project,Farm and Food Security,1600.0
Kailali,Seti,Terai,Far-Western,Fishery Development Program,Farm and Food Security,17146.0
Kailali,Seti,Terai,Far-Western,Crop Development Program,Farm and Food Security,1535.0
Kailali,Seti,Terai,Far-Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,3948.0
Kailali,Seti,Terai,Far-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,4691.0
Kailali,Seti,Terai,Far-Western,Horiculture Development Program,Farm and Food Security,700.0
Kailali,Seti,Terai,Far-Western,Crop Protection and Pesticide Development,Farm and Food Security,1600.0
Kailali,Seti,Terai,Far-Western,Livestock Service Extension Program,Farm and Food Security,16966.0
Kailali,Seti,Terai,Far-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1900.0
Kailali,Seti,Terai,Far-Western,Livestock Development Farms,Farm and Food Security,10772.0
Kailali,Seti,Terai,Far-Western,Community Livestock Development Project,Farm and Food Security,3538.0
Kailali,Seti,Terai,Far-Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,4073.0
Kailali,Seti,Terai,Far-Western,Livestock Training Program,Farm and Food Security,8216.0
Kailali,Seti,Terai,Far-Western,Veterinary Health Service Program,Farm and Food Security,10718.0
Kailali,Seti,Terai,Far-Western,Food Nutrition and Technology Program,Farm and Food Security,10902.0
Kalikot,Karnali,Mountain,Mid-Western,Non-formal Education & National Literacy Campaign,Education,12568.51
Kalikot,Karnali,Mountain,Mid-Western,School Sector Reform Program,Education,161252.0
