District,Zone,Geographical Region,Development Region,Categories,Values
Arghakhanchi,Lumbini,Hill,Western,Type of Road Earthern,3.0
Arghakhanchi,Lumbini,Hill,Western,Total Road,84.0
Arghakhanchi,Lumbini,Hill,Western,Population Influence per km Road,145.91
Arghakhanchi,Lumbini,Hill,Western,Road Density (km./100 sq.km.),1354.0
Arghakhanchi,Lumbini,Hill,Western,Type of Road Graveled 2,12.0
Pyuthan,Rapti,Hill,Mid-Western,Total Area  in Sq.km,228102.0
Pyuthan,Rapti,Hill,Mid-Western,Type of Road Black Topped,1309.0
Pyuthan,Rapti,Hill,Mid-Western,Type of Road Graveled ,68.0
Pyuthan,Rapti,Hill,Mid-Western,Type of Road Earthern,12.0
Pyuthan,Rapti,Hill,Mid-Western,Total Road,80.43
Pyuthan,Rapti,Hill,Mid-Western,Population Influence per km Road,160.43
Pyuthan,Rapti,Hill,Mid-Western,Road Density (km./100 sq.km.),1422.0
Pyuthan,Rapti,Hill,Mid-Western,Type of Road Graveled 2,12.0
Rolpa,Rapti,Hill,Mid-Western,Total Area  in Sq.km,224506.0
Rolpa,Rapti,Hill,Mid-Western,Type of Road Black Topped,1879.0
Rolpa,Rapti,Hill,Mid-Western,Type of Road Graveled ,33.4
Rolpa,Rapti,Hill,Mid-Western,Type of Road Earthern,61.0
Rolpa,Rapti,Hill,Mid-Western,Total Road,94.02
Rolpa,Rapti,Hill,Mid-Western,Population Influence per km Road,188.42
Rolpa,Rapti,Hill,Mid-Western,Road Density (km./100 sq.km.),1192.0
Rolpa,Rapti,Hill,Mid-Western,Type of Road Graveled 2,10.0
Rukum,Rapti,Hill,Mid-Western,Total Area  in Sq.km,208567.0
Rukum,Rapti,Hill,Mid-Western,Type of Road Black Topped,2877.0
Rukum,Rapti,Hill,Mid-Western,Type of Road Graveled ,0.0
Rukum,Rapti,Hill,Mid-Western,Type of Road Earthern,20.0
Rukum,Rapti,Hill,Mid-Western,Total Road,38.9
Rukum,Rapti,Hill,Mid-Western,Population Influence per km Road,58.9
Rukum,Rapti,Hill,Mid-Western,Road Density (km./100 sq.km.),3541.0
Salyan,Rapti,Hill,Mid-Western,Total Area  in Sq.km,242444.0
Salyan,Rapti,Hill,Mid-Western,Type of Road Black Topped,1462.0
Salyan,Rapti,Hill,Mid-Western,Type of Road Graveled ,4.0
Salyan,Rapti,Hill,Mid-Western,Type of Road Earthern,101.66
Salyan,Rapti,Hill,Mid-Western,Total Road,70.0
Salyan,Rapti,Hill,Mid-Western,Population Influence per km Road,175.66
Salyan,Rapti,Hill,Mid-Western,Road Density (km./100 sq.km.),1380.0
Salyan,Rapti,Hill,Mid-Western,Type of Road Graveled 2,12.0
Dang,Rapti,Terai,Mid-Western,Total Area  in Sq.km,552583.0
Dang,Rapti,Terai,Mid-Western,Type of Road Black Topped,2955.0
Dang,Rapti,Terai,Mid-Western,Type of Road Graveled ,148.22
Dang,Rapti,Terai,Mid-Western,Type of Road Earthern,169.0
Dang,Rapti,Terai,Mid-Western,Total Road,44.0
Dang,Rapti,Terai,Mid-Western,Population Influence per km Road,361.22
Dang,Rapti,Terai,Mid-Western,Road Density (km./100 sq.km.),1530.0
Dang,Rapti,Terai,Mid-Western,Type of Road Graveled 2,12.0
Banke,Bheri,Terai,Mid-Western,Total Area  in Sq.km,491313.0
Banke,Bheri,Terai,Mid-Western,Type of Road Black Topped,2337.0
Banke,Bheri,Terai,Mid-Western,Type of Road Graveled ,149.81
Banke,Bheri,Terai,Mid-Western,Type of Road Earthern,42.5
Banke,Bheri,Terai,Mid-Western,Total Road,34.1
Banke,Bheri,Terai,Mid-Western,Population Influence per km Road,226.41
Banke,Bheri,Terai,Mid-Western,Road Density (km./100 sq.km.),2170.0
Banke,Bheri,Terai,Mid-Western,Type of Road Graveled 2,10.0
Bardiya,Bheri,Terai,Mid-Western,Total Area  in Sq.km,426576.0
Bardiya,Bheri,Terai,Mid-Western,Type of Road Black Topped,2025.0
Bardiya,Bheri,Terai,Mid-Western,Type of Road Graveled ,121.43
Bardiya,Bheri,Terai,Mid-Western,Type of Road Earthern,60.99
Bardiya,Bheri,Terai,Mid-Western,Total Road,29.0
Bardiya,Bheri,Terai,Mid-Western,Population Influence per km Road,211.42
Bardiya,Bheri,Terai,Mid-Western,Road Density (km./100 sq.km.),2018.0
Bardiya,Bheri,Terai,Mid-Western,Type of Road Graveled 2,1.0
Surkhet,Bheri,Hill,Mid-Western,Total Area  in Sq.km,350804.0
Surkhet,Bheri,Hill,Mid-Western,Type of Road Black Topped,2451.0
Surkhet,Bheri,Hill,Mid-Western,Type of Road Graveled ,112.14
Surkhet,Bheri,Hill,Mid-Western,Type of Road Earthern,66.7
Surkhet,Bheri,Hill,Mid-Western,Total Road,56.3
Surkhet,Bheri,Hill,Mid-Western,Population Influence per km Road,235.14
Surkhet,Bheri,Hill,Mid-Western,Road Density (km./100 sq.km.),1492.0
Surkhet,Bheri,Hill,Mid-Western,Type of Road Graveled 2,1.0
Dailekh,Bheri,Hill,Mid-Western,Total Area  in Sq.km,261770.0
Dailekh,Bheri,Hill,Mid-Western,Type of Road Black Topped,1502.0
Dailekh,Bheri,Hill,Mid-Western,Type of Road Graveled ,78.09
Dailekh,Bheri,Hill,Mid-Western,Type of Road Earthern,37.77
Dailekh,Bheri,Hill,Mid-Western,Total Road,128.37
Dailekh,Bheri,Hill,Mid-Western,Population Influence per km Road,244.23
Dailekh,Bheri,Hill,Mid-Western,Road Density (km./100 sq.km.),1072.0
Dailekh,Bheri,Hill,Mid-Western,Type of Road Graveled 2,1.0
Jajarkot,Bheri,Hill,Mid-Western,Total Area  in Sq.km,171304.0
Jajarkot,Bheri,Hill,Mid-Western,Type of Road Black Topped,2230.0
Jajarkot,Bheri,Hill,Mid-Western,Type of Road Graveled ,0.0
Jajarkot,Bheri,Hill,Mid-Western,Type of Road Earthern,0.0
Jajarkot,Bheri,Hill,Mid-Western,Total Road,89.0
Jajarkot,Bheri,Hill,Mid-Western,Population Influence per km Road,89.0
Jajarkot,Bheri,Hill,Mid-Western,Road Density (km./100 sq.km.),1925.0
Dolpa,Karnali,Mountain,Mid-Western,Total Area  in Sq.km,36700.0
Dolpa,Karnali,Mountain,Mid-Western,Type of Road Black Topped,7889.0
Dolpa,Karnali,Mountain,Mid-Western,Type of Road Graveled ,0.0
Dolpa,Karnali,Mountain,Mid-Western,Type of Road Earthern,0.0
Dolpa,Karnali,Mountain,Mid-Western,Total Road,0.0
Dolpa,Karnali,Mountain,Mid-Western,Population Influence per km Road,0.0
Dolpa,Karnali,Mountain,Mid-Western,Road Density (km./100 sq.km.),0.0
Jumla,Karnali,Mountain,Mid-Western,Total Area  in Sq.km,108921.0
Jumla,Karnali,Mountain,Mid-Western,Type of Road Black Topped,2531.0
Jumla,Karnali,Mountain,Mid-Western,Type of Road Graveled ,0.0
Jumla,Karnali,Mountain,Mid-Western,Type of Road Earthern,0.0
Jumla,Karnali,Mountain,Mid-Western,Total Road,85.0
Jumla,Karnali,Mountain,Mid-Western,Population Influence per km Road,85.0
Jumla,Karnali,Mountain,Mid-Western,Road Density (km./100 sq.km.),1281.0
Kalikot,Karnali,Mountain,Mid-Western,Total Area  in Sq.km,136948.0
Kalikot,Karnali,Mountain,Mid-Western,Type of Road Black Topped,1741.0
Kalikot,Karnali,Mountain,Mid-Western,Type of Road Graveled ,0.0
Kalikot,Karnali,Mountain,Mid-Western,Type of Road Earthern,0.0
Kalikot,Karnali,Mountain,Mid-Western,Total Road,77.0
Kalikot,Karnali,Mountain,Mid-Western,Population Influence per km Road,77.0
Kalikot,Karnali,Mountain,Mid-Western,Road Density (km./100 sq.km.),1779.0
Mugu,Karnali,Mountain,Mid-Western,Total Area  in Sq.km,55286.0
Mugu,Karnali,Mountain,Mid-Western,Type of Road Black Topped,3535.0
Mugu,Karnali,Mountain,Mid-Western,Type of Road Graveled ,0.0
Mugu,Karnali,Mountain,Mid-Western,Type of Road Earthern,0.0
Mugu,Karnali,Mountain,Mid-Western,Total Road,0.0
Mugu,Karnali,Mountain,Mid-Western,Population Influence per km Road,0.0
Mugu,Karnali,Mountain,Mid-Western,Road Density (km./100 sq.km.),0.0
Humla,Karnali,Mountain,Mid-Western,Total Area  in Sq.km,50858.0
Humla,Karnali,Mountain,Mid-Western,Type of Road Black Topped,5655.0
Humla,Karnali,Mountain,Mid-Western,Type of Road Graveled ,0.0
Humla,Karnali,Mountain,Mid-Western,Type of Road Earthern,0.0
Humla,Karnali,Mountain,Mid-Western,Total Road,30.0
Humla,Karnali,Mountain,Mid-Western,Population Influence per km Road,30.0
Humla,Karnali,Mountain,Mid-Western,Road Density (km./100 sq.km.),1695.0
Bajura,Seti,Mountain,Far-Western,Total Area  in Sq.km,134912.0
Bajura,Seti,Mountain,Far-Western,Type of Road Black Topped,2188.0
Bajura,Seti,Mountain,Far-Western,Type of Road Graveled ,0.0
Bajura,Seti,Mountain,Far-Western,Type of Road Earthern,0.0
Bajura,Seti,Mountain,Far-Western,Total Road,43.0
Bajura,Seti,Mountain,Far-Western,Population Influence per km Road,43.0
Bajura,Seti,Mountain,Far-Western,Road Density (km./100 sq.km.),3137.0
Bajhang,Seti,Mountain,Far-Western,Total Area  in Sq.km,195159.0
Bajhang,Seti,Mountain,Far-Western,Type of Road Black Topped,3422.0
Bajhang,Seti,Mountain,Far-Western,Type of Road Graveled ,15.6
Bajhang,Seti,Mountain,Far-Western,Type of Road Earthern,14.82
Bajhang,Seti,Mountain,Far-Western,Total Road,48.36
Bajhang,Seti,Mountain,Far-Western,Population Influence per km Road,78.78
Bajhang,Seti,Mountain,Far-Western,Road Density (km./100 sq.km.),2477.0
Achham,Seti,Hill,Far-Western,Total Area  in Sq.km,257477.0
Achham,Seti,Hill,Far-Western,Type of Road Black Topped,1680.0
Achham,Seti,Hill,Far-Western,Type of Road Graveled ,42.0
Achham,Seti,Hill,Far-Western,Type of Road Earthern,0.0
Achham,Seti,Hill,Far-Western,Total Road,85.0
Achham,Seti,Hill,Far-Western,Population Influence per km Road,127.0
Achham,Seti,Hill,Far-Western,Road Density (km./100 sq.km.),2027.0
Doti,Seti,Hill,Far-Western,Total Area  in Sq.km,211746.0
Doti,Seti,Hill,Far-Western,Type of Road Black Topped,2025.0
Doti,Seti,Hill,Far-Western,Type of Road Graveled ,115.46
Doti,Seti,Hill,Far-Western,Type of Road Earthern,6.0
Doti,Seti,Hill,Far-Western,Total Road,28.0
Doti,Seti,Hill,Far-Western,Population Influence per km Road,149.46
Doti,Seti,Hill,Far-Western,Road Density (km./100 sq.km.),1417.0
Kailali,Seti,Terai,Far-Western,Total Area  in Sq.km,775709.0
Kailali,Seti,Terai,Far-Western,Type of Road Black Topped,3235.0
Kailali,Seti,Terai,Far-Western,Type of Road Graveled ,165.35
Kailali,Seti,Terai,Far-Western,Type of Road Earthern,61.25
Kailali,Seti,Terai,Far-Western,Total Road,75.0
Kailali,Seti,Terai,Far-Western,Population Influence per km Road,301.6
Kailali,Seti,Terai,Far-Western,Road Density (km./100 sq.km.),2572.0
Kanchanpur,Mahakali,Terai,Far-Western,Total Area  in Sq.km,451248.0
Kanchanpur,Mahakali,Terai,Far-Western,Type of Road Black Topped,1610.0
Kanchanpur,Mahakali,Terai,Far-Western,Type of Road Graveled ,44.32
Kanchanpur,Mahakali,Terai,Far-Western,Type of Road Earthern,89.0
Kanchanpur,Mahakali,Terai,Far-Western,Total Road,22.1
Kanchanpur,Mahakali,Terai,Far-Western,Population Influence per km Road,155.42
Kanchanpur,Mahakali,Terai,Far-Western,Road Density (km./100 sq.km.),2903.0
Kanchanpur,Mahakali,Terai,Far-Western,Type of Road Graveled 2,10.0
Dadeldhura,Mahakali,Hill,Far-Western,Total Area  in Sq.km,142094.0
Dadeldhura,Mahakali,Hill,Far-Western,Type of Road Black Topped,1538.0
Dadeldhura,Mahakali,Hill,Far-Western,Type of Road Graveled ,77.08
Dadeldhura,Mahakali,Hill,Far-Western,Type of Road Earthern,0.0
Dadeldhura,Mahakali,Hill,Far-Western,Total Road,64.0
Dadeldhura,Mahakali,Hill,Far-Western,Population Influence per km Road,141.08
Dadeldhura,Mahakali,Hill,Far-Western,Road Density (km./100 sq.km.),1007.0
Baitadi,Mahakali,Hill,Far-Western,Total Area  in Sq.km,250898.0
Baitadi,Mahakali,Hill,Far-Western,Type of Road Black Topped,1519.0
Baitadi,Mahakali,Hill,Far-Western,Type of Road Graveled ,136.53
Baitadi,Mahakali,Hill,Far-Western,Type of Road Earthern,1.1
Baitadi,Mahakali,Hill,Far-Western,Total Road,43.29
Baitadi,Mahakali,Hill,Far-Western,Population Influence per km Road,180.92
Baitadi,Mahakali,Hill,Far-Western,Road Density (km./100 sq.km.),1387.0
Baitadi,Mahakali,Hill,Far-Western,Type of Road Graveled 2,12.0
Darchaula,Mahakali,Mountain,Far-Western,Total Area  in Sq.km,133274.0
Darchaula,Mahakali,Mountain,Far-Western,Type of Road Black Topped,2322.0
Darchaula,Mahakali,Mountain,Far-Western,Type of Road Graveled ,0.0
Darchaula,Mahakali,Mountain,Far-Western,Type of Road Earthern,0.0
Darchaula,Mahakali,Mountain,Far-Western,Total Road,75.42
Darchaula,Mahakali,Mountain,Far-Western,Population Influence per km Road,75.42
Darchaula,Mahakali,Mountain,Far-Western,Road Density (km./100 sq.km.),1767.0
